restaurant_id,category_menuitem,name_menuitem,description,price,id,position,name_restaurant,score,ratings,category_restaurant,price_range,full_address,zip_code,lat,lng
8537,Noodles,Kwetiau Goreng Indonesia,Indonesian style stir fry wide rice noodle.,14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Noodles,Bihun Goreng Indonesia,Indonesian style stir-fry fine rice noodle.,14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Rice,Nasi Goreng Indonesia,"Indonesian style fried rice served with crackers and choice of chicken, beef, pork, tofu, or shrimp. Consists of corn fritter, spicy egg, and stir fry vegetables.",14.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8561,Burgers &amp; Sandwiches,Grilled Tempeh Burger,"sauteed organic tempeh &amp; roasted red pepper sauce on a 7-grain bun or gluten-free cornbread, served with lettuce, tomato &amp; radish sprouts",13.95 USD,8561,40,Sunlight Cafe,4.9,60.0,"Vegetarian, Vegan, Healthy",$$,"6404 9th Ave NE, Seattle, WA, 98115",98115,47.6751518,-122.3175976
8561,Hot Entrees,Tempeh Taco Plate,"two corn tortillas filled with spiced sauteed organic tempeh, cheddar cheese, olives, tomatoes, lettuce, cilantro; beans and rice on the side, sour cream and salsa on the side (for vegan, select no dairy)",15.5 USD,8561,40,Sunlight Cafe,4.9,60.0,"Vegetarian, Vegan, Healthy",$$,"6404 9th Ave NE, Seattle, WA, 98115",98115,47.6751518,-122.3175976
8561,Sides,Organic Sauteed Tempeh,,6.5 USD,8561,40,Sunlight Cafe,4.9,60.0,"Vegetarian, Vegan, Healthy",$$,"6404 9th Ave NE, Seattle, WA, 98115",98115,47.6751518,-122.3175976
8574,"Lunch Menu  / Sandwiches, Burgers &amp; Subs",Tempeh Reuben,Fried tempeh strips topped with sauerkraut and a healthy smearing of cheddar cheese sauce and 1000 island dressing on grilled rye.,13.28 USD,8574,26,Wayward Vegan Cafe,4.9,200.0,"Vegetarian, Vegan, Healthy",$,"801 NE 65th St, Seattle, WA, 98115",98115,47.6757,-122.3198
8574,Starters &amp; Sides / Sides,Tempeh Bacon,,3.75 USD,8574,26,Wayward Vegan Cafe,4.9,200.0,"Vegetarian, Vegan, Healthy",$,"801 NE 65th St, Seattle, WA, 98115",98115,47.6757,-122.3198
8918,Mains,Ayam Kremes,Fried chicken topped with crispy crumbs.,10.0 USD,8918,2,Waroeng Jajanan,,,"Indonesian, Asian",$,"22315 WA-99, Edmonds, WA, 98026",98026,47.7966709,-122.3330707
8918,Mains,Ayam Penyet,Crushed fried chicken with chilli sauce.,10.0 USD,8918,2,Waroeng Jajanan,,,"Indonesian, Asian",$,"22315 WA-99, Edmonds, WA, 98026",98026,47.7966709,-122.3330707
8918,Mains,Ayam Cabe Hijau,Green chilli paste.,10.0 USD,8918,2,Waroeng Jajanan,,,"Indonesian, Asian",$,"22315 WA-99, Edmonds, WA, 98026",98026,47.7966709,-122.3330707
9396,Appetizers,Roti Telur,Also called murtabak an Indian style pancake stuffed with chopped onions and bell peppers. Served with curry dipping sauce.,9.5 USD,9396,42,Malay Satay Hut,4.6,43.0,"Malaysian, Asian, Asian Fusion",$,"15230 NE 24th St, Redmond, WA, 98052",98052,47.6317808,-122.1365997
9396,Seafood Specialties,Ikan Assam,,20.95 USD,9396,42,Malay Satay Hut,4.6,43.0,"Malaysian, Asian, Asian Fusion",$,"15230 NE 24th St, Redmond, WA, 98052",98052,47.6317808,-122.1365997
10100,More Ways to Yumm!,Tofu or Tempeh Yumm! Bento®,Organic Brown Rice or Thai Jasmine Rice served with our creamy ginger Asian Cole Slaw and a side of Yumm! Sauce.®,12.95 USD,10100,5,Cafe Yumm! (Mill Plain Crossing),4.8,73.0,"American, Sandwiches, Healthy, Burritos, Kids Friendly, Family Friendly, Family Meals, Mexican",$,"500 SE 192nd Ave Ste 400, Vancouver, WA, 98683",98683,45.618172,-122.476456
10100,Salad · Soup · Sides,Teriyaki Tempeh Skewer,Marinated organic tempeh skewer baked with teriyaki sauce. Topped with black sesame seeds.,5.0 USD,10100,5,Cafe Yumm! (Mill Plain Crossing),4.8,73.0,"American, Sandwiches, Healthy, Burritos, Kids Friendly, Family Friendly, Family Meals, Mexican",$,"500 SE 192nd Ave Ste 400, Vancouver, WA, 98683",98683,45.618172,-122.476456
